Galaxy,Q,lam_kpc,eps,chi2,nu,chi2_red,flag_edge,flag_ok,status,lam_kpc_ll
UGC02885_rotmod,1,153.8213815783403,3.0,104.01230753679306,17,6.118371031576062,0,1,OK,
UGC02916_rotmod,1,200.0,0.420025484945062,684.5164521672594,41,16.695523223591692,1,1,EDGE_UP,200.0
UGC02953_rotmod,1,161.13429637681233,3.0,3131.479278025587,113,27.712206000226434,0,1,OK,
UGC03205_rotmod,1,124.31541989359354,3.0,216.65238081277093,46,4.70983436549502,0,1,OK,
UGC03546_rotmod,1,51.2188035303372,6.912675296044172e-15,1560.3605990113924,28,55.72716425040687,0,1,OK,
UGC03580_rotmod,1,65.91994129271528,3.0,626.2343673384644,45,13.916319274188098,0,1,OK,
UGC04278_rotmod,1,3.54673705569244,3.0,9.684456217760545,23,0.42106331381567585,1,1,EDGE_LOW,
UGC04305_rotmod,1,117.67872356125532,5.435642911981761e-24,5.401603409445521,20,0.27008017047227606,0,1,OK,
UGC04325_rotmod,1,0.3,1.989302601881848,3.396342339306977,6,0.5660570565511628,1,1,EDGE_LOW,
UGC04483_rotmod,1,1.1698515733888688,3.0,0.053053369072678,6,0.008842228178779667,1,1,EDGE_LOW,
UGC04499_rotmod,1,6.509736295656821,2.3868393113348936,0.9963928053670912,7,0.1423418293381559,0,1,OK,
UGC05005_rotmod,1,12.396411283621148,3.0,6.185216544156346,9,0.6872462826840384,0,1,OK,
UGC05253_rotmod,1,200.0,2.3679378897350465,1271.3346437697655,71,17.906121743236135,1,1,EDGE_UP,200.0
UGC05414_rotmod,1,8.967645810850474,3.0,0.0927306615046809,4,0.023182665376170225,0,1,OK,
UGC05716_rotmod,1,1.1730702607198624,3.0,4.546045422028974,10,0.45460454220289737,1,1,EDGE_LOW,
UGC05721_rotmod,1,1.3227989347681666,3.0,30.73113126558496,21,1.4633872031230932,1,1,EDGE_LOW,
UGC05750_rotmod,1,4.827068869908675,1.9656391880314392,1.0583765494572943,9,0.11759739438414381,0,1,OK,
UGC05764_rotmod,1,0.3,3.0,9.69426116607783,8,1.2117826457597287,1,1,EDGE_LOW,
UGC05829_rotmod,1,0.3,1.999401625137299,0.998185480270017,9,0.11090949780777966,1,1,EDGE_LOW,
UGC05918_rotmod,1,0.3,2.999999999999993,0.5587038151226722,6,0.09311730252044537,1,1,EDGE_LOW,
UGC05986_rotmod,1,7.006242306113774,3.0,4.89741873802561,13,0.37672451830966225,0,1,OK,
UGC06399_rotmod,1,3.425137825633365,2.3837996235674743,0.1962789702545549,7,0.028039852893507845,1,1,EDGE_LOW,
UGC06446_rotmod,1,0.8116916561567793,3.0,1.3476480427397997,15,0.08984320284931997,1,1,EDGE_LOW,
UGC06614_rotmod,1,149.46329365442853,3.0,194.85256770504083,11,17.713869791367348,0,1,OK,
UGC06628_rotmod,1,123.33265109438912,7.007086911834117e-15,4.562020074982751,5,0.9124040149965502,0,1,OK,
UGC06667_rotmod,1,0.3,3.0,38.38900621549018,7,5.484143745070026,1,1,EDGE_LOW,
UGC06786_rotmod,1,44.93877168843717,3.0,321.4390995041873,43,7.475327895446217,0,1,OK,
UGC06787_rotmod,1,61.14285982019614,3.0,1747.0208532414624,69,25.319142800600904,0,1,OK,
UGC06818_rotmod,1,11.328711094792844,3.0,10.07014003152555,6,1.678356671920925,0,1,OK,
UGC06917_rotmod,1,8.067134425492126,2.1112815610368285,1.088863809043234,9,0.12098486767147046,0,1,OK,
